36	16	-4.5	46.5	70	5
17	6	-3	52	72	0
10	26	-1	42.5	78	0
33	20	-7	47	77	7
19	14	-3.5	51	72	0
34	17	-8	55	70	6
30	27	-3	44.5	82	12
6	34	-3	44	77	5
14	20	-3.5	46.5	89	13
18	17	-6.5	40.5	80	3
35	14	-10	51.5	80	6
26	6	-5.5	41	72	6
29	10	-3	43	72	0
24	7	-5.5	37.5	79	7
24	10	-3	47	72	0
26	24	-6.5	47	72	0
24	17	-2.5	44.5	80	0
31	24	-1	43	61	4
7	30	-1	43.5	68	7
14	25	-5.5	49	68	4
14	30	-4.5	49.5	62	5
30	21	-13	49	82	14
20	28	-7	46.5	63	11
17	19	-3.5	49	65	11
10	26	-1	41.5	71	5
41	10	-3	42	73	10
27	30	-4.5	45	85	6
56	14	-7	47.5	73	9
23	14	-4	37.5	78	0
10	22	-3	49.5	77	6
19	37	-5	43	67	4
33	7	-3	54	72	0
21	23	-6.5	47	72	0
19	7	-3	41	72	0
17	44	-2.5	45.5	72	16
15	34	-3	42.5	74	3
16	9	-6.5	44.5	79	14
20	9	-2	43	69	19
30	17	-1.5	52	72	0
37	34	-6	45	85	5
26	20	-6	42.5	84	8
31	34	-14	47	78	7
19	27	-10	49.5	72	0
14	45	-1	41.5	76	0
38	10	-4	50	76	4
17	38	-4	48	83	6
38	17	-1.5	45	72	0
23	17	-1.5	45	56	4
41	17	-3	44.5	63	7
41	28	-3.5	42	79	0
17	24	-2	51	78	6
14	38	-3	54	72	0
24	27	-3	44	86	4
33	14	-7.5	46	72	0
26	21	-5.5	47.5	80	8
41	14	-2	44	85	6
42	10	-4	41	68	6
31	24	-7.5	45	73	6
20	17	-13	44.5	72	7
41	20	-3.5	49.5	75	7
14	17	-3	45.5	72	3
20	13	-8.5	46.5	63	7
9	17	-1.5	47	63	7
43	17	-5	48	72	0
37	31	-8	47.5	72	8
30	20	-4.5	43.5	72	0
34	28	-2.5	49.5	72	0
31	0	-6	47.5	73	4
22	17	-2.5	46.5	35	0
28	29	-11	48	72	0
17	27	-4	50.5	61	6
28	33	-3.5	48	60	6
30	20	-7	44.5	83	6
13	27	-4	43.5	88	6
22	37	-1	44	71	13
37	37	-7	46	63	11
31	10	-2.5	46	77	3
24	27	-5	46.5	72	0
3	17	-3.5	56	72	0
17	31	-1	44.5	59	3
28	31	-7	44	62	6
27	0	-2.5	46.5	64	7
23	30	-1.5	47	88	12
17	48	-1	43	61	20
16	14	-10	47.5	64	3
17	31	-7	44	86	7
27	25	-1	51	57	5
29	7	-10	47	66	5
17	16	-3.5	44.5	87	4
14	27	-4	42.5	74	7
31	21	-3.5	44.5	72	0
42	17	-9.5	44.5	63	5
24	23	-7	50	57	0
38	17	-7	43	45	8
27	0	-3	48	55	12
24	6	-5	47	72	0
13	24	-7	48.5	63	0
20	23	-1.5	46.5	72	0
28	26	-6.5	49.5	53	11
19	17	-3	50.5	72	0
30	23	-4	45	74	10
35	21	-3.5	46.5	70	14
24	20	-3	46	71	6
21	22	-7	43.5	72	0
9	13	-6	46.5	57	16
27	24	-3	44.5	51	8
23	13	-9	51	61	3
13	27	-1	48.5	72	0
34	7	-3.5	45.5	58	13
51	23	-6	45	81	11
44	23	-2.5	44.5	67	5
23	43	-6.5	44.5	54	9
51	34	-7	42	81	0
13	19	-7.5	44	85	13
16	30	-6	52	57	14
17	20	-2	55.5	72	0
10	28	-3	40.5	61	19
33	23	-5	48.5	56	7
22	17	-1	43	78	7
17	28	-3.5	43	79	5
21	31	-9.5	49	72	0
24	10	-3	49	53	3
37	0	-10	43.5	46	4
29	26	-7	44	42	8
43	21	-1.5	45	64	0
43	23	-1.5	48.5	71	8
10	13	-9.5	41.5	64	20
30	24	-3	45	69	5
24	40	-1	44	54	12
3	24	-3	53	41	18
31	14	-2.5	48	37	5
21	7	-10.5	44	64	10
13	17	-13.5	44	56	7
20	16	-3	51.5	53	8
55	14	-6.5	46	43	0
17	31	-7	43.5	72	0
24	27	-10.5	44	57	0
20	13	-2	42	41	11
17	41	-3	43	72	0
38	17	-9.5	54	32	6
17	27	-7.5	45	50	3
45	21	-6	49.5	72	0
22	9	-4.5	47	57	9
14	6	-13	51	69	7
17	19	-9	45	56	0
21	13	-3.5	47	66	5
7	23	-7	48.5	49	0
53	20	-4	41	71	0
20	42	-1	41.5	72	0
24	20	-2.5	47	52	3
10	27	-2.5	46.5	32	10
10	16	-4.5	42	34	7
13	6	-4.5	55.5	27	9
22	7	-3	59	72	0
7	27	-1	43.5	21	10
24	27	-8.5	51.5	72	0
24	20	-4	45	43	4
24	26	-10.5	45.5	71	7
21	13	-8	50	72	0
39	36	-6.5	46	46	7
13	22	-7	46	25	0
23	3	-7.5	42	55	11
21	24	-3	48.5	72	0
34	9	-4	46.5	53	10
28	31	-6.5	47.5	36	7
43	24	-3	44.5	76	14
27	24	-13	49.5	72	0
17	13	-7.5	49.5	46	6
19	3	-7.5	47.5	61	6
38	3	-4	49	48	0
27	34	-11	49	53	6
10	33	-4	43.5	72	3
34	17	-9	44	63	4
3	19	-7.5	41.5	57	6
29	18	-2.5	42.5	72	0
33	34	-2.5	50.5	72	0
26	10	-3	57	57	0
26	21	-7.5	46	72	0
45	21	-1	40.5	58	0
49	27	-1.5	45	72	0
25	24	-6.5	46	58	0
16	29	-3	42	57	11
31	13	-3	58	23	7
32	35	-7	42.5	78	10
52	0	-7.5	49	72	0
13	14	-3	44	72	7
13	16	-1	49.5	25	12
28	41	-2.5	41.5	15	15
17	14	-3.5	54.5	61	12
21	42	-6.5	43	72	0
24	25	-6	43.5	76	7
24	17	-6.5	41.5	43	9
34	17	-3.5	50	34	6
13	27	-2.5	41	72	0
13	28	-3	47.5	42	3
30	24	-3	50	38	11
10	41	-9	47	55	3
24	13	-10.5	42	72	0
14	24	-6.5	42	58	9
14	23	-3	45	77	12
7	36	-4.5	40	34	11
0	24	-8.5	50.5	72	0
43	37	-8	40.5	61	2
